테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명,지역,관광지명_분리
TH05,60,6001,1111054000,(서울)아리랑고개,127.014023,37.60081,1,0,실외,종교/역사/전통,서울,아리랑고개
TH05,60,6002,1111054000,(서울)창신동 백남준생가 터,127.013521,37.572819,2,1,실외,종교/역사/전통,서울,창신동 백남준생가 터
TH05,60,6003,1111054000,(서울)박수근 집&작업실,127.015561,37.571042,3,3,실외,종교/역사/전통,서울,박수근 집&작업실
TH01,60,6004,1123060000,(서울)답십리고미술상가,127.050227,37.570533,4,4,실외,문화/예술,서울,답십리고미술상가
TH05,61,6101,1111058000,(서울)홍난파 가옥,126.96509,37.571652,1,0,실외,종교/역사/전통,서울,홍난파 가옥
TH02,61,6102,1111053000,(서울)새문길 박물관거리,126.97053,37.570132,2,1,실외,체험/학습/산업,서울,새문길 박물관거리
TH05,61,6103,1114052000,(서울)정동길,126.972368,37.56584,3,2,실외,종교/역사/전통,서울,정동길
TH01,61,6104,1114052000,(서울)서울시립미술관,126.974677,37.564262,4,3,실내,문화/예술,서울,서울시립미술관
TH01,61,6105,1114052000,(서울)덕수궁미술관,126.973743,37.565885,5,4,실내,문화/예술,서울,덕수궁미술관
TH01,62,6201,1171056601,(서울)소마미술관,127.118238,37.516683,1,0,실내,문화/예술,서울,소마미술관
TH01,62,6202,1159060500,(서울)예술의 전당 & 한가람미술관,127.011243,37.478796,2,2,실내,문화/예술,서울,예술의 전당 & 한가람미술관
TH01,63,6301,1111053000,(서울)세종문화회관,126.975888,37.572353,1,0,실내,문화/예술,서울,세종문화회관
TH05,63,6302,1111061500,(서울)대한민국역사박물관,126.978088,37.57387,2,1,실내,종교/역사/전통,서울,대한민국역사박물관
TH01,63,6303,1111054000,(서울)삼청동 갤러리 거리,126.979994,37.580411,3,3,실외,문화/예술,서울,삼청동 갤러리 거리
TH01,63,6304,1111054000,(서울)국립현대미술관 서울관,126.980691,37.578967,4,4,실내,문화/예술,서울,국립현대미술관 서울관
TH01,64,6401,1114052000,(서울)삼성미술관 플라토,126.974947,37.56161,1,0,실내,문화/예술,서울,삼성미술관 플라토
